iter	Logloss
169	0.3928258339
170	0.3923595022
171	0.391630076
172	0.3908075372
173	0.39011914
174	0.3894832225
175	0.3889548918
176	0.3882016682
177	0.3877912058
178	0.38680761
179	0.386240351
180	0.3855755955
181	0.3851149088
182	0.3844320354
183	0.3840875205
184	0.38318007
185	0.3825908181
186	0.3821484554
187	0.381356041
188	0.3806374238
189	0.3802982849
190	0.379934153
191	0.3790409303
192	0.3785626689
193	0.3782080891
194	0.3774196939
195	0.3770388428
196	0.3764363
197	0.3759875301
198	0.3752925822
199	0.3748087191
200	0.3743951773
201	0.3739708406
202	0.3734681928
203	0.3730071335
204	0.3724384902
205	0.3717838129
206	0.3713127148
207	0.3706000487
208	0.370227836
209	0.369767126
210	0.3694569302
211	0.3689808235
212	0.3686883686
213	0.3681595495
214	0.3675513503
215	0.3671574538
216	0.3664179442
217	0.3659793629
218	0.3655653232
219	0.3651597676
220	0.3646258896
221	0.3643152273
222	0.3637801779
223	0.3633199837
224	0.362844933
225	0.3624683872
226	0.3622095526
227	0.3618165023
228	0.3613276923
229	0.3610554967
230	0.3606452178
231	0.3602392057
232	0.3597124154
233	0.3593232513
234	0.3586873553
235	0.3580424091
236	0.3578054674
237	0.3573275522
238	0.3567944353
239	0.3562613612
240	0.3557439532
241	0.3553864443
242	0.3550528827
243	0.3547822763
244	0.3541391477
245	0.3536931112
246	0.3533819264
247	0.3529993837
248	0.3525970786
249	0.3523304675
250	0.3520694684
251	0.3518375005
252	0.3516712778
253	0.3513909763
254	0.3507584415
255	0.3503305405
256	0.3499935069
257	0.349678774
258	0.3493590897
259	0.3489216263
260	0.348337432
261	0.3477078293
262	0.3471387111
263	0.346916544
264	0.3463650827
265	0.3458580163
266	0.345516851
267	0.345396372
268	0.3450781121
269	0.3445008942
270	0.3441690924
271	0.3436795424
272	0.3433751657
273	0.3428791179
274	0.3424402074
275	0.3421797329
276	0.3420084496
277	0.3416589973
278	0.3411872519
279	0.3408929398
280	0.3405446266
281	0.3401456215
282	0.3398041447
283	0.3393425963
284	0.3388253218
285	0.338397418
286	0.3378128215
287	0.337520807
288	0.3368378972
289	0.3365462801
290	0.3363425297
291	0.3360122501
292	0.3353285686
293	0.3350820541
294	0.3347376156
295	0.3345155425
296	0.3342077265
297	0.3339931685
298	0.3338204405
299	0.3334820458
300	0.3332247216
301	0.3328515087
302	0.3324867598
303	0.3318726821
304	0.3316225608
305	0.3313876831
306	0.3312329618
307	0.3308942052
308	0.3305482294
309	0.3300904342
310	0.3297726879
311	0.329465327
312	0.3291074284
313	0.3287629173
314	0.3285103103
315	0.3282308539
316	0.3279499505
317	0.3277761697
318	0.3274492317
319	0.3272073085
320	0.3268217992
321	0.3264796199
322	0.3262938797
323	0.3260467243
324	0.3257029333
325	0.3252035672
326	0.3248674209
327	0.3244517447
328	0.3241311919
329	0.3236633091
330	0.323439307
331	0.3231485397
332	0.3226784384
333	0.3223363397
334	0.3221922299
335	0.3216558906
336	0.3213898134
337	0.3209661227
338	0.3207748612
339	0.32054021
340	0.3201730118
341	0.319839241
342	0.3196251268
343	0.3192392875
344	0.3190191979
345	0.3185073681
346	0.3182786534
347	0.3180900661
348	0.3178653649
349	0.3175961529
350	0.3170222549
351	0.3168153572
352	0.3165172736
353	0.3161319493
354	0.3156362447
355	0.3154059055
356	0.3150595917
357	0.3148002915
358	0.3144496769
359	0.3141072621
360	0.3137404016
361	0.3132490385
362	0.312783264
363	0.3126237378
364	0.3120820217
365	0.311911735
366	0.3114369748
367	0.3112270351
368	0.3110362586
369	0.3107027805
370	0.3104554126
371	0.310125587
372	0.3098644596
373	0.3095193141
374	0.3093305542
375	0.3090656499
376	0.3087997783
377	0.3086277669
378	0.3084035233
379	0.3081940697
380	0.3079551924
381	0.3076671217
382	0.307273196
383	0.3069572269
384	0.3066504691
385	0.3063530557
386	0.306052112
387	0.3057187186
388	0.3055612227
389	0.305323098
390	0.3051120505
391	0.3047054869
392	0.3045281072
393	0.3041491809
394	0.3039755097
395	0.3037180079
396	0.3034948771
397	0.3033081306
398	0.3030030689
399	0.3025903659
400	0.3023164234
401	0.3022726733
402	0.3019743848
403	0.3017161175
404	0.3014805243
405	0.3011733707
406	0.3009334259
407	0.3006928951
408	0.3003686773
409	0.3000431408
410	0.2996901717
411	0.2995196282
412	0.2993653565
413	0.2989861059
414	0.2988479652
415	0.2985736264
416	0.2981567417
417	0.2978460388
418	0.2975752637
419	0.2972946462
420	0.2970268292
421	0.2968412699
422	0.2966064489
423	0.2963040286
424	0.2959786623
425	0.2956425305
426	0.2953701497
427	0.2950255691
428	0.2947129785
429	0.2944758511
430	0.29425873
431	0.2940869815
432	0.2935337325
433	0.2931167638
434	0.2927524508
435	0.2924938003
436	0.2924051047
437	0.2921072981
438	0.2918601628
439	0.2915618058
440	0.2913131097
441	0.291069466
442	0.2909099941
443	0.2905607674
444	0.2903552618
445	0.2901886963
446	0.2899915324
447	0.2893985732
448	0.2892221847
449	0.2891166631
450	0.2889701955
451	0.288702909
452	0.2884045626
453	0.2880470021
454	0.2877144687
455	0.2874485618
456	0.2869170308
457	0.2865779128
458	0.2863619785
459	0.2861970448
460	0.2860135764
461	0.2858278891
462	0.2856636483
463	0.2853685465
464	0.2851309531
465	0.284826753
466	0.284713789
467	0.2844771449
468	0.2842450992
469	0.284097734
470	0.2837946843
471	0.283349522
472	0.282884554
473	0.2827595185
474	0.2826691395
475	0.282438167
476	0.2821210382
477	0.2819883124
478	0.2816745953
479	0.2814283647
480	0.2812945763
481	0.2808828566
482	0.2806952862
483	0.2803861644
484	0.2801579743
485	0.2798743228
486	0.2795280408
487	0.2792706594
488	0.2790909573
489	0.2788189424
490	0.2785174847
491	0.2781778664
492	0.2780227419
493	0.277805176
494	0.2776242224
495	0.2774578414
496	0.2771725153
497	0.2770237135
498	0.2767697603
499	0.2765263074
